dt,network_name,rewards_cumsum,rewards_usd
2025-07-17,,0.0015191076333333335,0.0015191076333333335
2025-07-27,,0.0015191076333333335,
2025-07-28,Tanssi Network,5760.076533283668,5760.0750141760345
2025-07-29,,5760.076533283668,
2025-07-30,,5760.076533283668,
2025-07-31,,5760.076533283668,
2025-08-01,,5760.076533283668,
2025-08-02,,5760.076533283668,
2025-08-03,,5760.185564013253,0.10903072958474996
2025-08-04,,5760.185564013253,
2025-08-05,,5760.185564013253,
2025-08-06,,5760.185564013253,
2025-08-07,,5760.185564013253,
2025-08-08,Tanssi Network,45201.99239345871,39441.80682944546
2025-08-09,,45201.99239345871,
2025-08-10,,45201.99239345871,
2025-08-11,,45202.04358688156,0.05119342284699999
2025-08-12,Tanssi Network,46179.57723965685,977.5336527752853
2025-08-13,Tanssi Network,54149.64307638027,7970.065836723423
2025-08-14,,54149.64307638027,
2025-08-15,,54149.64307638027,
2025-08-16,Tanssi Network,57536.811681570274,3387.168605190004
2025-08-17,,57536.811681570274,
2025-08-18,Hyperlane,671683.0616815703,614146.2499999999
2025-08-19,,671683.0616815703,
2025-08-20,Tanssi Network,690223.9056170245,18540.843935454242
2025-08-21,Tanssi Network,691976.3725564424,1752.4669394178745
2025-08-22,Tanssi Network,708387.5833334855,16411.210777043147
2025-08-23,Tanssi Network,709090.9791007987,703.3957673131708
2025-08-24,Tanssi Network,710552.3750603091,1461.395959510351
2025-08-25,Tanssi Network,722986.7001501346,12434.32508982552
2025-08-26,Tanssi Network,723588.2697386077,601.5695884730648
2025-08-27,Tanssi Network,725399.2817919163,1811.012053308701
2025-08-28,Tanssi Network,726044.4188381068,645.1370461904963
2025-08-29,Cap,736075.2256324298,0.06404648483916663
2025-08-29,Tanssi Network,736075.2256324298,10030.742747838145
2025-08-30,,736075.2256324298,
2025-08-31,Tanssi Network,737382.3769413505,1307.151308920738
2025-09-01,Cap,763259.7614218475,0.00032897168266666674
2025-09-01,Tanssi Network,763259.7614218475,25877.384151525326
2025-09-02,Cap,763866.0222960846,0.16947798281700008
2025-09-02,Tanssi Network,763866.0222960846,606.0913962541755
2025-09-03,Tanssi Network,773701.39724956,9835.37495347541
2025-09-04,Cap,774280.8170628424,0.18415717865925002
2025-09-04,Tanssi Network,774280.8170628424,579.2356561037965
2025-09-05,Cap,774985.8722274876,55.569921978334335
2025-09-05,Tanssi Network,774985.8722274876,649.4852426668162
2025-09-06,Tanssi Network,780594.1740875326,5608.3018600449495
2025-09-07,Cap,781790.456228288,548.3354080707012
2025-09-07,Tanssi Network,781790.456228288,647.9467326847464
2025-09-08,Cap,783413.3364332959,261.29617343408813
2025-09-08,Tanssi Network,783413.3364332959,1361.5840315737996
2025-09-09,Cap,784104.7993509971,0.09145518826000006
2025-09-09,Tanssi Network,784104.7993509971,691.3714625129833
2025-09-10,Cap,784815.9478062547,0.007092111010666666
