active_networks,collateral,delegated_stake,delegator_type,label,opted_in_operators,slasher_type,tvl,utilization,vault,whitelisted
3,mETH,257963565.72,NetworkRestakeDelegator,Mantle,2,None,100703305.2,2.561619652976395,0xba60b6969faa9b927a0acc750ea8eeadced644b7,True
10,wstETH,391452750,NetworkRestakeDelegator,Ether.fi,20,VetoSlasher,56942008.9,6.874586224863592,0x450a90fdea8b87a6448ca1c87c88ff65676ac45b,True
3,LBTC,77658913.72,NetworkRestakeDelegator,Ether.fi,13,VetoSlasher,45545487,1.7050847149795543,0xd4e20eca1f996dab35883dc0ad5e3428af888d45,True
1,wstETH,24650894.189413916,OperatorNetworkSpecificDelegator,Public,1,VetoSlasher,25172318.9,0.9792857895747507,0xf40eccddb0056bacd5328dbc8e532f9ba73dac74,False
3,uniBTC,26643525.570148382,NetworkRestakeDelegator,Mellow,2,VetoSlasher,23401349.8,1.1385465282070346,0x95934438741616fc7fcf65215e4a624aa608494b,True
5,wstETH,50699265,NetworkRestakeDelegator,Mellow,9,VetoSlasher,18620346.1,2.722788541508366,0xa88e91cef50b792f9449e2d4c699b6b3cce1d19f,True
1,HYPER,14332371.892683698,NetworkRestakeDelegator,Other,14,VetoSlasher,13818646.9,1.0371762153271098,0xe1f23869776c82f691d9cb34597ab1830fb0de58,False
7,LsETH,71089985.34746136,NetworkRestakeDelegator,Public,9,VetoSlasher,12014235.5,5.91714598464974,0xea0f2ea61998346ad39dddef7513ae90915afb3c,False
1,LBTC,9529181.92912074,OperatorNetworkSpecificDelegator,Other,1,VetoSlasher,9679603,0.984459995840815,0x3d5ccde8e2fb939b36f2234ad4a93a455276a223,True
1,SPK,9248540.825916033,NetworkRestakeDelegator,Public,1,VetoSlasher,9400994.2,0.9837832711263702,0xc6132faf04627c8d05d6e759fabb331ef2d8f8fd,False
5,wstETH,17837092.04334002,NetworkRestakeDelegator,Mellow,3,VetoSlasher,5692571.9,3.1333977605693515,0xf7ce770abdd1895f2cb0989d7cf2a26705ff37a7,True
1,WBTC,4952905.738920932,OperatorNetworkSpecificDelegator,Other,1,VetoSlasher,5030244.1,0.9846253264172472,0x06881cfac22039b89b511309ef12dc062ebed820,True
1,wstETH,4833706.760221124,OperatorNetworkSpecificDelegator,Mellow,1,VetoSlasher,4935951.1,0.9792857875397356,0x1274cd7f6ef54e6d3e060c27329314bb8af76f94,True
5,wstETH,19991032.0911683,NetworkRestakeDelegator,Public,22,VetoSlasher,4825080.5,4.143149962196133,0xc10a7f0ac6e3944f4860ee97a937c51572e3a1da,False
9,wstETH,39818584.21526417,NetworkRestakeDelegator,Mellow,18,VetoSlasher,4730058,8.418202105611426,0x3d93b33f5e5fe74d54676720e70ea35210cdd46e,True
6,wstETH,14095970.622667974,NetworkRestakeDelegator,Mellow,1,VetoSlasher,4534078.9,3.1088939856489866,0x82c304aa105fbbe2aa368a83d7f8945d41f6ca54,True
4,cbETH,12087511.096611395,NetworkRestakeDelegator,Public,18,VetoSlasher,4058084.3,2.978624938030833,0xb8fd82169a574eb97251bf43e443310d33ff056c,False
11,wstETH,39588734.24919101,NetworkRestakeDelegator,Mellow,21,VetoSlasher,3675102.7,10.77214365987405,0x446970400e1787814ca050a4b45ae9d21b3f7ea7,True
3,POND,7406923.082834162,NetworkRestakeDelegator,Mellow,6,VetoSlasher,2421128.6,3.0592852782930082,0xca86abc73dac61fae350ec52ed33680edb50a1ff,True
4,wstETH,7166603.607404783,NetworkRestakeDelegator,Mellow,1,VetoSlasher,2383220.1,3.0071094178018987,0xd6a7933d2ac0baf297944d254eb62a48dea6e19b,True
1,uniBTC,2043025.5407189778,OperatorNetworkSpecificDelegator,Public,1,VetoSlasher,2090017.8,0.9775158569075239,0x5ab263160a116decc6bab1361fc55a3be62e2338,False
4,USDB,7604176.604518385,NetworkRestakeDelegator,Other,4,VetoSlasher,1901100.7,3.999881018674279,0x0fdf3b986d62be6ae1d5228e5da90ff6f00c15f6,True
3,rETH,5156951.978111882,NetworkRestakeDelegator,Public,14,VetoSlasher,1755894.3,2.9369375924916903,0xaf07131c497e06361dc2f75de63dc1d3e113f7cb,False
2,osETH,3187817.21376364,NetworkRestakeDelegator,Public,1,VetoSlasher,1629056,1.9568493739709623,0x9ec7175541948494db7831c95868dd97d2e0f742,False
4,wBETH,5266284.390643429,NetworkRestakeDelegator,Public,12,VetoSlasher,1370748.7,3.8419036185432307,0x81bb35c4152b605574babd320f8eabe2871ce8c6,False
4,swETH,3505914.7600501585,NetworkRestakeDelegator,Public,26,VetoSlasher,1194813.9,2.934276844327103,0x65b560d887c010c4993c8f8b36e595c171d69d63,False
7,wstETH,7747088.6335022375,NetworkRestakeDelegator,Public,17,VetoSlasher,1130136.8,6.855000769377864,0x4e0554959a631b3d3938ffc158e0a7b2124af9c5,False
1,wstETH,1096548.3481129548,NetworkRestakeDelegator,Mellow,1,VetoSlasher,1119742.9,0.9792858236591229,0x94204ba4a8c633d91768c60cabe75f0f46813a93,True
3,WBTC,3161306.976945686,NetworkRestakeDelegator,Public,43,VetoSlasher,1070223.3,2.9538760527318795,0x9e405601b645d3484baeecf17bbf7ad87680f6e8,True
1,TANSSI,791725.6504107286,NetworkRestakeDelegator,Public,37,VetoSlasher,834583.2,0.948647960336044,0xca7bc6a710b815dfcbabb9503e6a387e94914545,False
1,wstETH,743500,OperatorNetworkSpecificDelegator,Mellow,1,VetoSlasher,759226.8,0.9792857680998616,0x19da3e317be6eb0b838ff4b305772191875a10f8,True
3,wstETH,1876479.60712778,NetworkRestakeDelegator,Mellow,1,VetoSlasher,638723.9,2.937857197965788,0x108784d6b93a010f62b652b2356697daef3d7341,True
4,mETH,1712585.840532464,NetworkRestakeDelegator,Public,10,VetoSlasher,437257.8,3.91665017875602,0xf60e6e6d8648fdbc2834ef7bc6f5e49ab55bec31,False
6,wstETH,413386,NetworkRestakeDelegator,Mellow,1,VetoSlasher,430596.2,0.9600316955885816,0x24ec7ac12137e778731e1c1c54abf743cbf02881,True
3,wstETH,932177.7017137024,OperatorSpecificDelegator,Mellow,1,VetoSlasher,317298.5,2.937857259689858,0x403fdb36cb82786ac82a5cd3be8e9b922af4949a,True
1,SWELL,298740.5279686872,NetworkRestakeDelegator,Other,2,VetoSlasher,296797.1,1.0065480018796922,0xfe53bca0df7ebe8e43cd1b976275ccce7c4a5eda,True
3,lskETH-OFT,793637.058501273,NetworkRestakeDelegator,Mellow,5,VetoSlasher,270675.1,2.9320652638579356,0xb65a578bf6b4b997b87c83c22f240b291a875ee3,True
1,wstETH,186894.5606380873,NetworkRestakeDelegator,Mellow,5,VetoSlasher,190847.8,0.9792859055125986,0x7e5307d99532513386beeac92f8616cca76c7034,True
5,wstETH,583233.7447929692,OperatorSpecificDelegator,Public,5,VetoSlasher,187849.2,3.1047975971841733,0x93b96d7cde40dc340ca55001f46b3b8e41bc89b4,False
3,rsLSK-OFT,438354.28985733184,NetworkRestakeDelegator,Mellow,5,VetoSlasher,181256.3,2.418422365773393,0x230e1d993107d5902dac8a59a0bcb13f72477017,True
1,wstETH,154512.217085725,NetworkRestakeDelegator,Other,1,VetoSlasher,157780.5,0.9792858882163828,0xd006d743fcc622486bd971596e39cc55f8c641ca,True
1,MANTA,149348.9638615738,OperatorSpecificDelegator,Public,1,VetoSlasher,149444.4,0.9993613936793471,0xdc9e761de67a419f4898ec0c449ac6e246f364ea,False
2,LINK,287006.3090592575,NetworkRestakeDelegator,Public,1,None,143500.3,2.0000397843018973,0xd538a11e421449f2bafa153f678c81e7a4f411b3,False
1,MANTA,140875.90009115014,OperatorSpecificDelegator,Public,1,VetoSlasher,140966,0.999360839430431,0x2261e453df37b9c64176b5299c7e61da7f85057a,False
1,MANTA,139019.7803788543,OperatorSpecificDelegator,Public,1,VetoSlasher,139108.6,0.9993615087697979,0xd45771fdc8dc42cdd764b6187fe23191673ccbc4,False
1,MANTA,138975.08078499488,OperatorSpecificDelegator,Public,1,VetoSlasher,139063.9,0.9993613064569229,0xcbb704c163257008582f3eed2c9466f34893ce58,False
1,MANTA,137263.0733925185,OperatorSpecificDelegator,Public,1,VetoSlasher,137350.8,0.9993612952565148,0x8cf1a34f0e8011206391b6ba56e989f68df1a708,False
1,MANTA,132277.11527719875,OperatorSpecificDelegator,Public,1,VetoSlasher,132361.7,0.999360957718122,0x2377255c9a0260b4fe51eb875359f344a250e895,False
1,wstETH,122706.04316956626,NetworkRestakeDelegator,Mellow,2,VetoSlasher,125301.6,0.9792855252412279,0x7154633eda7569021e5b1cfcbf953715f8775ca8,True
